,Feature_Name,Importance_Score
0,C4_Alpha_FOOOF_1_45,0.03247380365038586
1,C4_Beta_FOOOF_1_45,0.02617394811896499
2,C4_Delta_FOOOF_1_45,0.03274383405566041
3,C4_Gamma_FOOOF_1_45,0.02515759134397275
4,C4_Theta_FOOOF_1_45,0.030858029709477017
5,Cz_Alpha_FOOOF_1_45,0.02039028351219676
6,Cz_Beta_FOOOF_1_45,0.029691845154713407
7,Cz_Delta_FOOOF_1_45,0.03230700907251358
8,Cz_Gamma_FOOOF_1_45,0.0331035118899431
9,Cz_Theta_FOOOF_1_45,0.02887427882962454
10,F4_Alpha_FOOOF_1_45,0.01024988540650328
11,F4_Beta_FOOOF_1_45,0.015333776210832087
12,F4_Delta_FOOOF_1_45,0.015528572512113373
13,F4_Gamma_FOOOF_1_45,0.013679385022617988
14,F4_Theta_FOOOF_1_45,0.015387031096601535
15,Fp1_Alpha_FOOOF_1_45,0.018037605845054275
16,Fp1_Beta_FOOOF_1_45,0.011305087861210239
17,Fp1_Delta_FOOOF_1_45,0.011827833560955707
18,Fp1_Gamma_FOOOF_1_45,0.013828680007134938
19,Fp1_Theta_FOOOF_1_45,0.017372999523250287
20,Fp2_Theta_FOOOF_1_45,0.017448236893078145
21,Fz_Alpha_FOOOF_1_45,0.017857164896318597
22,Fz_Beta_FOOOF_1_45,0.015555137701519768
23,Fz_Delta_FOOOF_1_45,0.01630688006745515
24,Fz_Gamma_FOOOF_1_45,0.01679539879148433
25,Fz_Theta_FOOOF_1_45,0.010842755972463137
26,O1_Alpha_FOOOF_1_45,0.01222590860547223
27,O1_Beta_FOOOF_1_45,0.006002248183188586
28,O1_Delta_FOOOF_1_45,0.009243934028893406
29,O1_Gamma_FOOOF_1_45,0.008996793033294667
30,O1_Theta_FOOOF_1_45,0.010195379947658016
31,O2_Alpha_FOOOF_1_45,0.006175755828434361
32,O2_Beta_FOOOF_1_45,0.010195326317170338
33,O2_Delta_FOOOF_1_45,0.007159208729896148
34,O2_Gamma_FOOOF_1_45,0.005744672378379717
35,O2_Theta_FOOOF_1_45,0.010324238718300838
36,P3_Alpha_FOOOF_1_45,0.01762853466197517
37,P3_Beta_FOOOF_1_45,0.013262123316285596
38,P3_Delta_FOOOF_1_45,0.016595776925814286
39,P3_Gamma_FOOOF_1_45,0.020349266066889603
40,P3_Theta_FOOOF_1_45,0.012690608148964846
41,P4_Alpha_FOOOF_1_45,0.012573237997398639
42,P4_Beta_FOOOF_1_45,0.009831433607942997
43,P4_Delta_FOOOF_1_45,0.011011494938231885
44,P4_Gamma_FOOOF_1_45,0.010957801728949074
45,P4_Theta_FOOOF_1_45,0.008770961930003358
46,P7_Alpha_FOOOF_1_45,0.009085892043036024
47,P7_Beta_FOOOF_1_45,0.00878839446009332
48,P7_Delta_FOOOF_1_45,0.014021772132713
49,P7_Gamma_FOOOF_1_45,0.014460725498088247
50,P7_Theta_FOOOF_1_45,0.008516692248594724
51,P8_Alpha_FOOOF_1_45,0.0067286018057423035
52,P8_Beta_FOOOF_1_45,0.009009733782819314
53,P8_Delta_FOOOF_1_45,0.006975602250893823
54,P8_Gamma_FOOOF_1_45,0.010352803298320118
55,P8_Theta_FOOOF_1_45,0.007407152447362448
56,Pz_Alpha_FOOOF_1_45,0.00968193727894729
57,Pz_Beta_FOOOF_1_45,0.008376861688402603
58,Pz_Delta_FOOOF_1_45,0.011263496824987965
59,Pz_Gamma_FOOOF_1_45,0.010613546269766648
60,Pz_Theta_FOOOF_1_45,0.013557200746812124
61,T7_Alpha_FOOOF_1_45,0.008838858457497482
62,T7_Beta_FOOOF_1_45,0.010716749100621762
63,T7_Delta_FOOOF_1_45,0.010095225714476231
64,T7_Gamma_FOOOF_1_45,0.009640496951835954
65,T7_Theta_FOOOF_1_45,0.012270833196727561
66,T8_Alpha_FOOOF_1_45,0.010278849338186935
67,T8_Beta_FOOOF_1_45,0.011178606082110222
68,T8_Delta_FOOOF_1_45,0.011248708014607202
69,T8_Gamma_FOOOF_1_45,0.008098655473086464
70,T8_Theta_FOOOF_1_45,0.009727333095081194
