,Feature_Name,Importance_Score
0,C4_Pz_Delta_Imag_Coherence,0.0532744325510867
1,Cz_Fp2_Alpha_Imag_Coherence,0.23628401106651806
2,Fp1_P4_Delta_Imag_Coherence,0.03222189776559042
3,Fp1_P7_Theta_Imag_Coherence,0.04528943820037511
4,Fp2_Fz_Alpha_Imag_Coherence,0.15212055764358157
5,Fp2_P3_Delta_Imag_Coherence,0.0594336066175919
6,O1_P8_Gamma_Imag_Coherence,0.1233781628969572
7,O2_P8_Beta_Imag_Coherence,0.04474076148559002
8,P4_Pz_Alpha_Imag_Coherence,0.15581261548623698
9,P8_Pz_Delta_Imag_Coherence,0.09744451628647192
