,Feature_Name,Importance_Score
0,C3_C4_Theta_WPLI,0.0007284459785593353
1,C3_Cz_Alpha_WPLI,0.0003679305222157009
2,C3_Cz_Beta_WPLI,0.001529030582570147
3,C3_F3_Beta_WPLI,0.0005839417054542016
4,C3_F3_Theta_WPLI,0.0007576614659437347
5,C3_Fp2_Delta_WPLI,0.0009808646892704208
6,C3_Fz_Beta_WPLI,0.003210619502943252
7,C3_Fz_Delta_WPLI,0.00106423747554921
8,C3_Fz_Gamma_WPLI,0.0011343945273886602
9,C3_Fz_Theta_WPLI,0.000743751515810392
10,C3_O1_Beta_WPLI,0.0008937554084814493
11,C3_O2_Alpha_WPLI,0.0004542000724448455
12,C3_O2_Beta_WPLI,0.0008205888625252301
13,C3_O2_Gamma_WPLI,0.0008713031368198778
14,C3_P3_Beta_WPLI,0.0005562032491583989
15,C3_P3_Delta_WPLI,0.0002693550541147734
16,C3_P3_Theta_WPLI,0.0020655641974166757
17,C3_P4_Alpha_WPLI,0.001677533770739811
18,C3_P4_Gamma_WPLI,0.0020045766555202003
19,C3_P7_Delta_WPLI,0.006238125140170347
20,C3_P7_Theta_WPLI,0.0009315155330086342
21,C3_P8_Theta_WPLI,0.0007756015491889752
22,C3_Pz_Beta_WPLI,0.0021048052272779087
23,C3_Pz_Gamma_WPLI,0.0047844528456155565
24,C3_Pz_Theta_WPLI,0.0004978134509799136
25,C3_T7_Alpha_WPLI,0.0010233581993264456
26,C3_T7_Beta_WPLI,0.00270702985672449
27,C3_T7_Delta_WPLI,0.0027896647145953316
28,C3_T7_Gamma_WPLI,0.001189282911172664
29,C3_T7_Theta_WPLI,0.00010364220017702244
30,C3_T8_Alpha_WPLI,0.0020560678695614263
31,C3_T8_Beta_WPLI,0.0008243092144533497
32,C3_T8_Delta_WPLI,0.00011029998879485116
33,C3_T8_Gamma_WPLI,0.0007988447930479184
34,C3_T8_Theta_WPLI,0.00015001384957777803
35,C4_Cz_Alpha_WPLI,0.00016320517163900561
36,C4_Cz_Beta_WPLI,0.002001997405589557
37,C4_Cz_Delta_WPLI,0.0010762173572532615
38,C4_Cz_Gamma_WPLI,0.0020687812406374666
39,C4_Cz_Theta_WPLI,0.00011669222930893837
40,C4_F3_Alpha_WPLI,0.0002473996174151901
41,C4_F3_Beta_WPLI,0.0008842610834434604
42,C4_F3_Delta_WPLI,0.0009780215710068812
43,C4_F3_Gamma_WPLI,7.955569420727911e-05
44,C4_F3_Theta_WPLI,0.0011580737623372072
45,C4_F4_Alpha_WPLI,0.002677884691413369
46,C4_F4_Beta_WPLI,0.0021924296352995873
47,C4_F4_Delta_WPLI,0.0021864696835531845
48,C4_F4_Gamma_WPLI,0.0015189459917888959
49,C4_F4_Theta_WPLI,0.0002178674340725826
50,C4_F7_Alpha_WPLI,0.0012893664559677836
51,C4_F7_Beta_WPLI,0.0016235699764867656
52,C4_F7_Delta_WPLI,0.002003425909401611
53,C4_F7_Gamma_WPLI,0.00053801797074605
54,C4_F7_Theta_WPLI,0.0021040399895106026
55,C4_F8_Alpha_WPLI,0.004429208443958991
56,C4_F8_Beta_WPLI,0.0004868909181959568
57,C4_F8_Delta_WPLI,0.0016401171864059486
58,C4_F8_Gamma_WPLI,0.0029021643410257624
59,C4_F8_Theta_WPLI,0.0008925720115859311
60,C4_Fp1_Alpha_WPLI,0.0011609169873343427
61,C4_Fp1_Beta_WPLI,0.0010527457778820243
62,C4_Fp1_Delta_WPLI,0.0017455891126790589
63,C4_Fp1_Gamma_WPLI,0.001743861623342398
64,C4_Fp1_Theta_WPLI,0.00021371691541129594
65,C4_Fp2_Alpha_WPLI,0.0006116689745036514
66,C4_Fp2_Beta_WPLI,0.0025433164595130876
67,C4_Fp2_Delta_WPLI,0.0004901930430786685
68,C4_Fp2_Gamma_WPLI,0.001724463558425904
69,C4_Fp2_Theta_WPLI,0.0025597476784016008
70,C4_Fz_Alpha_WPLI,0.0019039827462405934
71,C4_Fz_Beta_WPLI,0.000386867585732925
72,C4_Fz_Delta_WPLI,0.0012222755430193058
73,C4_Fz_Gamma_WPLI,0.0011523662194101243
74,C4_Fz_Theta_WPLI,0.0010735088212136298
75,C4_O1_Alpha_WPLI,0.004616537324079108
76,C4_O1_Beta_WPLI,0.0024183495610588255
77,C4_O1_Delta_WPLI,0.0016987126183590645
78,C4_O1_Gamma_WPLI,0.002535225702683532
79,C4_O1_Theta_WPLI,0.0004196385953355833
80,C4_O2_Alpha_WPLI,0.0010646187422020308
81,C4_O2_Beta_WPLI,0.0006462102165666147
82,C4_O2_Delta_WPLI,0.0006389661982405412
83,C4_O2_Gamma_WPLI,0.00119519236259242
84,C4_O2_Theta_WPLI,0.0012893514537180733
85,C4_P3_Alpha_WPLI,0.0001664739195871261
86,C4_P3_Beta_WPLI,0.0009618217810653204
87,C4_P3_Delta_WPLI,0.0009806516758154745
88,C4_P3_Gamma_WPLI,0.0008413289670889934
89,C4_P3_Theta_WPLI,5.267831187312761e-05
90,C4_P4_Alpha_WPLI,0.0007005483679327106
91,C4_P4_Beta_WPLI,0.00204701367736138
92,C4_P4_Delta_WPLI,0.0035344533498631514
93,C4_P4_Gamma_WPLI,0.0020827749279271122
94,C4_P4_Theta_WPLI,0.002213192227650108
95,C4_P7_Alpha_WPLI,0.0010264183061219443
96,C4_P7_Beta_WPLI,0.0010248889623982436
97,C4_P7_Delta_WPLI,0.0002534388911926067
98,C4_P7_Gamma_WPLI,0.0001858268562670461
99,C4_P7_Theta_WPLI,0.00033447297234563114
100,C4_P8_Alpha_WPLI,2.390070784484031e-05
101,C4_P8_Beta_WPLI,0.001215567580978059
102,C4_P8_Delta_WPLI,0.00019308810488552835
103,C4_P8_Gamma_WPLI,0.003290613104608379
104,C4_P8_Theta_WPLI,0.0011063794256779987
105,C4_Pz_Alpha_WPLI,0.0027248571522031887
106,C4_Pz_Beta_WPLI,0.0026609762316114386
107,C4_Pz_Delta_WPLI,0.002801334865336664
108,C4_Pz_Gamma_WPLI,0.0004548880732659245
109,C4_Pz_Theta_WPLI,0.0004179486433533756
110,C4_T7_Alpha_WPLI,0.00025446327552559476
111,C4_T7_Beta_WPLI,0.002557706701370719
112,C4_T7_Delta_WPLI,0.0004867577694486564
113,C4_T7_Gamma_WPLI,3.9951562793588504e-05
114,C4_T7_Theta_WPLI,0.0009297082181366121
115,C4_T8_Alpha_WPLI,0.00041852992780528687
116,C4_T8_Beta_WPLI,0.0017502490745104154
117,C4_T8_Delta_WPLI,0.0030157635063873963
118,C4_T8_Gamma_WPLI,0.0009634258964707442
119,C4_T8_Theta_WPLI,0.0009083660928454439
120,Cz_F3_Alpha_WPLI,0.0006751528164489355
121,Cz_F3_Beta_WPLI,0.0005062955001678965
122,Cz_F3_Delta_WPLI,0.0005112054697876101
123,Cz_F3_Gamma_WPLI,0.00015026634874446343
124,Cz_F3_Theta_WPLI,0.0013528868568076164
125,Cz_F4_Alpha_WPLI,0.00141799947864029
126,Cz_F4_Beta_WPLI,0.0012896913638294754
127,Cz_F4_Delta_WPLI,0.0003307678387625174
128,Cz_F4_Gamma_WPLI,0.001392556372837114
129,Cz_F4_Theta_WPLI,0.0007198723836666211
130,Cz_F7_Alpha_WPLI,8.012131643340445e-06
131,Cz_F7_Beta_WPLI,0.002320333676318095
132,Cz_F7_Delta_WPLI,0.002111537098362211
133,Cz_F7_Gamma_WPLI,0.0021075039338030203
134,Cz_F7_Theta_WPLI,0.0009813188469397734
135,Cz_F8_Alpha_WPLI,0.00025605653931568174
136,Cz_F8_Beta_WPLI,0.001062074691281898
137,Cz_F8_Delta_WPLI,0.000586713149104245
138,Cz_F8_Gamma_WPLI,0.00011241996107776123
139,Cz_F8_Theta_WPLI,0.00015326157642294336
140,Cz_Fp1_Alpha_WPLI,0.0007924245651443903
141,Cz_Fp1_Beta_WPLI,0.0001971035584855588
142,Cz_Fp1_Delta_WPLI,0.0007337456562537936
143,Cz_Fp1_Gamma_WPLI,0.0008965733145296514
144,Cz_Fp1_Theta_WPLI,0.0010166842935805565
145,Cz_Fp2_Alpha_WPLI,0.000243667105092724
146,Cz_Fp2_Beta_WPLI,0.000487351778609612
147,Cz_Fp2_Delta_WPLI,0.00043456737971855
148,Cz_Fp2_Gamma_WPLI,0.0011566569345520961
149,Cz_Fp2_Theta_WPLI,0.0011047456921262778
150,Cz_Fz_Alpha_WPLI,0.0008582693485702397
