,Feature_Name,Importance_Score
0,C3_C4_Alpha_WPPC,0.0015676336193039602
1,C3_C4_Delta_WPPC,0.0013885491197343492
2,C3_Cz_Alpha_WPPC,0.006579275170089514
3,C3_Cz_Gamma_WPPC,0.0005361892593108823
4,C3_F3_Alpha_WPPC,0.004573885714706814
5,C3_F3_Delta_WPPC,0.00017498690991715865
6,C3_F4_Alpha_WPPC,0.0030422812018243172
7,C3_F4_Gamma_WPPC,0.002594047611616561
8,C3_F4_Theta_WPPC,0.0022926037640455606
9,C3_F7_Alpha_WPPC,0.002681920834353902
10,C3_F7_Delta_WPPC,0.0030251508164375472
11,C3_F7_Gamma_WPPC,0.0032768798518844483
12,C3_F7_Theta_WPPC,0.0033007337981150946
13,C3_F8_Beta_WPPC,0.0012170301265034633
14,C3_F8_Delta_WPPC,0.0009625887790882698
15,C3_Fp1_Alpha_WPPC,0.002878018328284781
16,C3_Fp1_Beta_WPPC,0.001382739928307188
17,C3_Fp1_Gamma_WPPC,0.0009583394302223189
18,C3_Fp2_Beta_WPPC,0.0036461283586717718
19,C3_Fp2_Theta_WPPC,0.0028763735436657563
20,C3_Fz_Alpha_WPPC,0.0035354788956084814
21,C3_Fz_Beta_WPPC,0.0038745525331463845
22,C3_Fz_Theta_WPPC,0.0010554028616637746
23,C3_O1_Alpha_WPPC,0.010511987414710324
24,C3_O1_Beta_WPPC,0.002672453438648768
25,C3_O2_Gamma_WPPC,0.0008453617768109859
26,C3_P3_Delta_WPPC,0.001336720206768545
27,C3_P3_Gamma_WPPC,0.0007157650835173963
28,C3_P4_Delta_WPPC,0.0006600976939211956
29,C3_P7_Beta_WPPC,0.0015374105869972298
30,C3_P7_Gamma_WPPC,0.002306909269174069
31,C3_P7_Theta_WPPC,0.0007269326866122385
32,C3_Pz_Alpha_WPPC,0.004299595584396374
33,C3_Pz_Beta_WPPC,0.006091897313862755
34,C3_Pz_Gamma_WPPC,0.0008893340771378213
35,C3_T7_Alpha_WPPC,0.0007607726894730264
36,C3_T7_Beta_WPPC,0.002547620760772148
37,C3_T7_Gamma_WPPC,0.0028861606346017813
