,Gamma_Abs_Power$,Delta_Abs_Power$,Theta_Abs_Power$,Alpha_Rel_Power$,Beta_Rel_Power$,Gamma_Rel_Power$,Delta_Rel_Power$,Theta_Rel_Power$,Alpha_Osc_Power$,Beta_Osc_Power$,Gamma_Osc_Power$,Delta_Osc_Power$,Theta_Osc_Power$,Alpha_FOOOF_1_45$,Beta_FOOOF_1_45$,Gamma_FOOOF_1_45$,Delta_FOOOF_1_45$,Theta_FOOOF_1_45$,Alpha_FOOOF_1_45_offset$,Beta_FOOOF_1_45_offset$,Gamma_FOOOF_1_45_offset$,Delta_FOOOF_1_45_offset$,Theta_FOOOF_1_45_offset$,Alpha_FOOOF_30_45$,Beta_FOOOF_30_45$,Gamma_FOOOF_30_45$,Delta_FOOOF_30_45$,Theta_FOOOF_30_45$,Alpha_FOOOF_30_35_offset$,Beta_FOOOF_30_35_offset$,Gamma_FOOOF_30_35_offset$,Delta_FOOOF_30_35_offset$,Theta_FOOOF_30_35_offset$
0,47.296,34.529,28.344,30.544,31.648,37.718,32.794,32.326,34.24,35.036,33.334,32.956,31.572,41.042,41.042,42.886,42.886,41.042,31.852,31.852,31.852,31.852,31.852,34.728750000000005,34.031166666666664,31.353457647907607,27.157272222222222,37.37416666666667,36.058,33.93065119047623,33.88849841269842,33.93065119047623,33.88849841269842
1,25.982,29.237,29.553,29.024,23.196,32.808,38.172,21.347,41.316,30.77,26.705,35.231,30.092,27.28,27.014,27.126,23.328,27.014,37.102,37.46,37.46,37.102,37.46,28.823,29.249,29.249,28.5043,28.5043,30.375,31.882,32.935266666666664,29.991,30.376
2,38.913,33.314,36.808,37.822,35.052,33.704,32.704,33.918,37.056,36.658,36.709,35.295,31.604,26.042,30.869,28.163,26.042,30.869,32.912,32.912,32.912,32.912,32.912,26.160344266844277,23.459400000000002,26.160344266844277,24.1695,23.8377,25.593666666666667,23.521,23.433600000000002,24.102966666666667,23.1702
3,40.534,32.063,38.579,26.721,34.105,27.03,25.346,39.558,32.232,30.121,34.388,28.626,30.524,29.056,27.638,29.834,27.638,28.592,34.648,34.794,34.794,34.37,34.37,29.0068,28.907799999999998,29.0068,29.485466666666667,29.1125,31.068,30.86026666666667,31.01973333333334,29.668016666666666,31.01973333333334
4,27.823,36.16,36.18,49.656,37.291,36.663,34.21,30.759,35.398,33.908,31.574,35.352,29.694,34.026,34.026,34.026,34.026,34.026,31.302,31.162,31.162,31.058,31.162,29.660461832611844,29.63304706682206,33.8902,30.777249999999995,34.894,29.660461832611844,31.837633333333336,31.837633333333336,32.54813333333333,29.660461832611844
5,28.972,24.798,29.39,37.426,33.677,28.962,32.05,25.538,28.004,34.292,36.568,30.344,34.098,33.132,33.132,33.132,33.132,33.132,34.968,33.931,33.931,33.931,33.931,41.95756587301588,43.03414920634921,43.062426984126986,43.090623412698385,42.58053333333333,42.576247222222214,43.895066666666665,46.822571428571436,46.52183333333333,42.51095555555556
6,24.106,42.12,39.68,33.481,38.717,38.144,46.438,36.927,33.564,34.514,38.268,39.354,40.673,34.82,34.82,34.82,34.82,34.82,38.688,38.688,38.688,38.688,37.28,35.38065,35.306866666666664,35.5271,35.927299999999995,35.6048,37.27282619047619,37.284326190476186,37.284326190476186,37.284326190476186,37.334159523809525
7,27.213,33.328,35.353,30.224,32.69,32.678,31.204,39.199,25.325,33.538,40.537,46.892,38.057,35.866,35.866,35.866,35.866,35.866,33.48,33.91,33.48,33.91,34.034,34.341040043290036,36.158865079365086,34.341040043290036,36.18121587301589,34.35033863636361,35.57245714285713,37.20469047619047,38.01410714285714,35.615838095238104,32.91726666666668
8,44.342,33.247,32.766,27.561,32.92,32.241,33.714,27.05,39.34,35.084,28.478,29.645,31.392,35.837,35.724,37.957,35.837,35.724,33.286,31.39,33.286,33.286,33.286,38.570023809523825,38.5254976190476,38.5254976190476,38.5254976190476,38.570023809523825,38.5254976190476,38.570023809523825,38.5254976190476,38.570023809523825,38.5254976190476
9,29.435,29.878,30.964,45.192,31.254,27.072,29.42,36.896,34.306,27.864,31.794,31.444,36.823,28.228,28.228,28.228,28.228,28.228,28.886,28.886,28.886,28.886,28.628,24.61229400599402,24.600193864468846,24.600193864468846,24.61229400599402,24.61229400599402,24.600193864468846,24.61229400599402,24.61229400599402,24.600193864468846,24.61229400599402
